src	answer	options	category	question	cot_content	question_id	answer_index	total_tokens	meta_cluster	base_cluster	entropy_ans_correct_qwen2	entropy_value_qwen2	entropy_ans_qwen2	norm_entropy
stemez-Business	A	['$275 machine', '$320 machine', '$320 machine with a 20% discount', 'Both are the same price', '$300 machine with a 10% discount', '$320 machine with a 5% discount', '$250 machine with a 15% discount', '$280 machine', '$310 machine with no discount', '$350 machine with a 15% discount']	business	Which sewing machine offers the better deal when comparing a $275 fixed-price model to a $320 model with a 12.5% discount, and what is the exact amount saved by choosing the better option?		785	0	123	Economics & Finance MCQs	Business Finance Questions	False	0.2094632983207702	2	0.0938169279785539
stemez-Business	A	['$275 machine', '$320 machine', '$320 machine with a 20% discount', 'Both are the same price', '$300 machine with a 10% discount', '$320 machine with a 5% discount', '$250 machine with a 15% discount', '$280 machine', '$310 machine with no discount', '$350 machine with a 15% discount']	business	Which sewing machine offers the better deal when comparing a $275 fixed-price model to a $320 model with a 12.5% discount, and how much cheaper is the better option?		785	0	123	Economics & Finance MCQs	Business Finance Questions	False	0.2094632983207702	2	0.0938169279785539
stemez-Physics	H	['1.5 × 10^14 photons', '4.5 × 10^14 photons', '18 × 10^14 photons', '12 × 10^14 photons', '24 × 10^14 photons', '15 × 10^14 photons', '6 × 10^14 photons', '3 × 10^14 photons', '7.5 × 10^14 photons', '9 × 10^14 photons']	physics	If a 1-gram object drops vertically by 1 centimeter and *all* of the gravitational potential energy lost is converted into yellow light with a wavelength of **6 × 10⁻⁵ cm**, what is the total number of photons produced?		9074	7	133	Scientific Calculations	Wavelength & Energy Calculations	False	2.014543056488037	5	0.9022976452457268
stemez-Physics	H	['1.5 × 10^14 photons', '4.5 × 10^14 photons', '18 × 10^14 photons', '12 × 10^14 photons', '24 × 10^14 photons', '15 × 10^14 photons', '6 × 10^14 photons', '3 × 10^14 photons', '7.5 × 10^14 photons', '9 × 10^14 photons']	physics	If a 1-gram object drops vertically by 1 centimeter and *all* of the gravitational potential energy lost is converted into yellow light with a wavelength of **6 × 10⁻⁵ cm**, what is the total number of photons produced?		9074	7	133	Scientific Calculations	Wavelength & Energy Calculations	False	2.014543056488037	5	0.9022976452457268
stemez-Physics	C	['150ft^3', '450ft^3', '295ft^3', '325ft^3', '350ft^3', '400ft^3', '500ft^3', '200ft^3', '275ft^3', '250ft^3']	physics	A sample of an ideal gas initially occupies 2 ft³ at a pressure of 137 atm and a temperature of 27°C. If the gas expands to 1 atm while being heated to 50°C, what will its new volume be in cubic feet?		9092	2	104	Scientific Calculations	Chemistry Calculations	False	0.0412812754511833	9	0.018489551520074
stemez-Physics	C	['150ft^3', '450ft^3', '295ft^3', '325ft^3', '350ft^3', '400ft^3', '500ft^3', '200ft^3', '275ft^3', '250ft^3']	physics	A sample of an ideal gas initially occupies 2 ft³ at 137 atm and 27°C. If the gas expands to 1 atm while being heated to 50°C, what will its new volume be in cubic feet?		9092	2	104	Scientific Calculations	Chemistry Calculations	False	0.0412812754511833	9	0.018489551520074
ori_mmlu-college_physics	D	['100%', '75%', '40%', '25%', '20%', '60%', '0%', '80%', '90%', '50%']	physics	What fraction of the original intensity of unpolarized light remains after it passes sequentially through two ideal linear polarizers with their transmission axes oriented at a 45° angle relative to each other?		9372	3	75	Biology Questions	Chemistry & Biology Reactions	True	0.0702546536922454	4	0.0314664947914174
ori_mmlu-college_physics	D	['100%', '75%', '40%', '25%', '20%', '60%', '0%', '80%', '90%', '50%']	physics	What fraction of the original intensity of unpolarized light remains after it passes through two ideal linear polarizers with their transmission axes oriented at a 45° angle to each other?		9372	3	75	Biology Questions	Chemistry & Biology Reactions	True	0.0702546536922454	4	0.0314664947914174
stemez-Chemistry	D	['The mixture is saturated', 'Precipitation will occur only under high-pressure conditions', 'Precipitation will occur', 'Precipitation should NOT occur', 'Precipitation will occur instantaneously', 'Cannot determine without further information', 'The mixture will never reach saturation']	chemistry	When 50 mL of **5.0 × 10⁻⁴ M calcium nitrate (Ca(NO₃)₂)** is combined with 50 mL of **2.0 × 10⁻⁴ M sodium fluoride (NaF)**, forming a **100 mL solution**, what is the expected outcome regarding the formation of a precipitate, given that the **Kₛₚ of CaF₂ is 1.7 × 10⁻¹⁰**? Select the best answer from the options provided.		4582	3	125	Biology Questions	Chemistry & Biology Questions	False	0.1276555210351944	6	0.0571758819756733
stemez-Chemistry	D	['The mixture is saturated', 'Precipitation will occur only under high-pressure conditions', 'Precipitation will occur', 'Precipitation should NOT occur', 'Precipitation will occur instantaneously', 'Cannot determine without further information', 'The mixture will never reach saturation']	chemistry	When 50 mL of **5.0 × 10⁻⁴ M calcium nitrate (Ca(NO₃)₂)** is combined with 50 mL of **2.0 × 10⁻⁴ M sodium fluoride (NaF)**, yielding a total volume of 100 mL, what is the expected outcome regarding the formation of a precipitate, given that the **solubility product constant (Kₛₚ) of CaF₂ is 1.7 × 10⁻¹⁰**? Select the correct statement from the options provided.		4582	3	125	Biology Questions	Chemistry & Biology Questions	False	0.1276555210351944	6	0.0571758819756733
